date,away_name,away_score,home_name,home_score,status,home_team_won,winner_name,winner_score,loser_name,loser_score,score_diff,home_sent_overall,home_sent_espn,home_sent_google,home_sent_headlines,home_sent_recent,home_sent_pct_positive_articles,home_sent_pct_negative_articles,home_inj_mention_rate,home_inj_severity_score,home_inj_article_count_norm,home_inj_key_player_flag,home_inj_sentiment,home_lineup_change_signal,home_lineup_starter_mention_rate,home_lineup_benched_signal,home_lineup_roster_instability,home_lineup_sentiment,home_momentum_win_mention_rate,home_momentum_loss_mention_rate,home_momentum_score,home_momentum_slump_score,home_momentum_net,home_momentum_win_loss_ratio,home_ctx_coaching_mention_rate,home_ctx_coaching_instability,home_ctx_ranking_mention_rate,home_ctx_fatigue_signal,home_ctx_home_away_context,home_data_total_articles_norm,home_data_source_diversity,home_data_confidence,home_efg_pct,home_tov_pct,home_orb_pct,home_ftr,home_kenpom_rank,home_adj_em,home_adj_o,home_adj_d,away_sent_overall,away_sent_espn,away_sent_google,away_sent_headlines,away_sent_recent,away_sent_pct_positive_articles,away_sent_pct_negative_articles,away_inj_mention_rate,away_inj_severity_score,away_inj_article_count_norm,away_inj_key_player_flag,away_inj_sentiment,away_lineup_change_signal,away_lineup_starter_mention_rate,away_lineup_benched_signal,away_lineup_roster_instability,away_lineup_sentiment,away_momentum_win_mention_rate,away_momentum_loss_mention_rate,away_momentum_score,away_momentum_slump_score,away_momentum_net,away_momentum_win_loss_ratio,away_ctx_coaching_mention_rate,away_ctx_coaching_instability,away_ctx_ranking_mention_rate,away_ctx_fatigue_signal,away_ctx_home_away_context,away_data_total_articles_norm,away_data_source_diversity,away_data_confidence,away_efg_pct,away_tov_pct,away_orb_pct,away_ftr,away_kenpom_rank,away_adj_em,away_adj_o,away_adj_d
2026-02-22,American,75,Lafayette,61,Final,0,American,75,Lafayette,61,-14,0.4992649999999999,0.0,0.4992649999999999,0.3013349999999999,0.9217,0.65,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.25,0.05,0.2,2.9999999999999996,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.492,0.135,0.261,0.325,321.0,-14.96,100.41853070706792,115.3746824612338,0.2492149999999999,0.0,0.2492149999999999,0.074055,0.29086,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.15,0.1,0.0499999999999999,1.3333333333333337,0.2,1.0,0.35,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.526,0.1369999999999999,0.283,0.293,242.0,-6.96,105.22689912849518,112.1917550545451
2026-02-22,Boston U.,67,Lehigh,70,Final,1,Lehigh,70,Boston U.,67,3,0.4145899999999999,0.0,0.4145899999999999,0.27619,0.9217,0.6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.2,0.1,0.1,3.666666666666667,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.534,0.158,0.236,0.323,283.0,-10.2,102.58077296674338,112.77752907733031,0.4300149999999999,0.0,0.4300149999999999,0.26083,0.53318,0.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.2,0.1,0.1,3.666666666666667,0.2,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.5569999999999999,0.16049999999999995,0.31199999999999994,0.33099999999999996,245.0,-7.47,111.68900589201432,119.15712436356554
2026-02-22,Holy Cross,72,Bucknell,63,Final,0,Holy Cross,72,Bucknell,63,-9,0.613435,0.0,0.613435,0.3710699999999999,0.62938,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.15,0.15,0.05,0.0999999999999999,3.0,0.15,1.0,0.15,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.485,0.1669999999999999,0.27,0.298,326.0,-15.28,98.8061923631399,114.08620131262006,0.4125299999999999,0.0,0.4125299999999999,0.20577,0.73736,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.2,0.0,0.2,2.666666666666667,0.15,0.0,0.0,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.496,0.1369999999999999,0.23,0.319,333.0,-17.24,100.66414469604824,117.90647810483362
2026-02-22,Niagara,62,Rider,67,Final,1,Rider,67,Niagara,62,5,0.807485,0.0,0.807485,0.5543550000000002,0.90846,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.15,0.15,0.0,3.3333333333333335,0.15,1.0,0.15,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.433,0.143,0.3289999999999999,0.308,358.0,-24.25,96.35379505226456,120.60767784502968,0.6012849999999998,0.0,0.6012849999999998,0.3500049999999999,0.73736,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.15,0.05,0.0999999999999999,3.666666666666667,0.15,1.0,0.05,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.508,0.1669999999999999,0.254,0.261,335.0,-17.48,99.86866203311271,117.34378697655538
2026-02-22,UAB,78,Memphis,67,Final,0,UAB,78,Memphis,67,-11,-0.0526149999999999,0.0,-0.0526149999999999,-0.1290899999999999,-0.19096,0.2,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.3,0.2,0.2,0.1,0.1,1.4999999999999998,0.4,1.0,0.2,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.487,0.16,0.353,0.347,133.0,3.09,107.87293767985436,104.78704367462991,0.6911549999999999,0.0,0.6911549999999999,0.486315,0.9217,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15,0.15,0.15,0.0,5.0,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.486,0.105,0.33,0.363,137.0,2.5,108.51927173620923,106.0227320609243
2026-02-22,Iona,86,Merrimack,88,Final,1,Merrimack,88,Iona,86,2,0.5918849999999999,0.0,0.5918849999999999,0.3837,0.9217,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.2,0.1,0.1,3.666666666666667,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.491,0.132,0.248,0.382,170.0,-0.22,106.1565250579831,106.3807857111297,0.800325,0.0,0.800325,0.5837050000000001,0.9217,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.15,0.15,0.05,0.0999999999999999,5.666666666666667,0.15,1.0,0.05,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.519,0.151,0.278,0.293,243.0,-6.88,103.9690782829023,110.85256696544197
2026-02-22,Ohio St.,60,Michigan St.,66,Final,1,Michigan St.,66,Ohio St.,60,6,0.323305,0.0,0.323305,0.1269,-0.03082,0.6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.15,0.15,0.0,1.6666666666666667,0.15,1.0,0.5,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.536,0.144,0.385,0.362,99.0,12.545,114.12142026000419,101.57791206940237,0.12993,0.0,0.12993,0.0086749999999999,0.2049599999999999,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.25,0.15,0.1,1.3333333333333337,0.15,1.0,0.2,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.565,0.136,0.308,0.378,23.0,23.62,125.21288574679974,101.5972652544206
2026-02-22,Sacred Heart,63,Marist,65,Final,1,Marist,65,Sacred Heart,63,2,0.7330549999999999,0.0,0.7330549999999999,0.5098800000000001,0.9217,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.15,0.15,0.1,0.0499999999999999,4.333333333333334,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.498,0.146,0.294,0.253,208.0,-2.86,99.57721207645054,102.43775701471104,0.7981199999999999,0.0,0.7981199999999999,0.6647100000000001,0.97626,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.15,0.1,0.0499999999999999,3.666666666666667,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.525,0.153,0.295,0.302,297.0,-11.75,106.81532666031988,118.56941119637123
2026-02-22,Green Bay,70,Detroit,74,Final,1,Detroit,74,Green Bay,70,4,0.39364,0.0,0.39364,0.171205,0.18168,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.15,0.1,0.0499999999999999,1.6666666666666667,0.2,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.498,0.1369999999999999,0.341,0.343,187.0,-1.84,108.80931955778338,110.6534228392124,0.485305,0.0,0.485305,0.212715,0.56222,0.65,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.2,0.2,0.0,0.2,2.25,0.3,0.0,0.05,0.05,0.0,0.5714285714285714,0.25,0.4107142857142857,0.553,0.142,0.257,0.416,180.0,-1.26,113.05828501125472,114.32171133845247
2026-02-22,Canisius,47,Mt St Mary's,68,Final,1,Mt St Mary's,68,Canisius,47,21,0.16343,0.0,0.16343,0.054525,-0.48704,0.45,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.45,0.15,0.15,0.05,0.0999999999999999,3.0,0.25,1.0,0.05,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.508,0.193,0.326,0.325,278.0,-9.09,99.17606782752452,108.2645073075101,0.870595,0.0,0.870595,0.5952900000000001,0.9217,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15,0.15,0.1,0.0499999999999999,5.0,0.15,1.0,0.1,0.0,0.0,0.5714285714285714,0.25,0.4107142857142857,0.467,0.1689999999999999,0.297,0.311,345.0,-18.42,95.57978300046848,114.0031969056576
